threshold,precision,recall,f1,predicted_failures,true_positives,false_positives,true_negatives,false_negatives
0.5,0.33152173913043476,0.8970588235294118,0.48412698412698413,184,61,123,1809,7
0.51,0.3567251461988304,0.8970588235294118,0.5104602510460251,171,61,110,1822,7
0.52,0.37037037037037035,0.8823529411764706,0.5217391304347826,162,60,102,1830,8
0.53,0.3959731543624161,0.8676470588235294,0.543778801843318,149,59,90,1842,9
0.54,0.4172661870503597,0.8529411764705882,0.5603864734299517,139,58,81,1851,10
0.55,0.4666666666666667,0.8235294117647058,0.5957446808510638,120,56,64,1868,12
0.56,0.4827586206896552,0.8235294117647058,0.608695652173913,116,56,60,1872,12
0.5700000000000001,0.5045045045045045,0.8235294117647058,0.6256983240223463,111,56,55,1877,12
0.5800000000000001,0.509090909090909,0.8235294117647058,0.6292134831460674,110,56,54,1878,12
0.59,0.509090909090909,0.8235294117647058,0.6292134831460674,110,56,54,1878,12
0.6,0.5192307692307693,0.7941176470588235,0.627906976744186,104,54,50,1882,14
0.61,0.5196078431372549,0.7794117647058824,0.6235294117647059,102,53,49,1883,15
0.62,0.5148514851485149,0.7647058823529411,0.6153846153846153,101,52,49,1883,16
0.63,0.5306122448979592,0.7647058823529411,0.6265060240963856,98,52,46,1886,16
0.64,0.53125,0.75,0.6219512195121951,96,51,45,1887,17
0.65,0.5555555555555556,0.7352941176470589,0.6329113924050633,90,50,40,1892,18
0.66,0.5617977528089888,0.7352941176470589,0.6369426751592357,89,50,39,1893,18
0.67,0.5617977528089888,0.7352941176470589,0.6369426751592357,89,50,39,1893,18
0.68,0.5581395348837209,0.7058823529411765,0.6233766233766234,86,48,38,1894,20
0.6900000000000001,0.5647058823529412,0.7058823529411765,0.6274509803921569,85,48,37,1895,20
0.7000000000000001,0.5647058823529412,0.7058823529411765,0.6274509803921569,85,48,37,1895,20
0.7100000000000001,0.5714285714285714,0.7058823529411765,0.6315789473684211,84,48,36,1896,20
0.72,0.573170731707317,0.6911764705882353,0.6266666666666667,82,47,35,1897,21
0.73,0.575,0.6764705882352942,0.6216216216216216,80,46,34,1898,22
0.74,0.5844155844155844,0.6617647058823529,0.6206896551724138,77,45,32,1900,23
0.75,0.6,0.6176470588235294,0.608695652173913,70,42,28,1904,26
0.76,0.5909090909090909,0.5735294117647058,0.5820895522388059,66,39,27,1905,29
0.77,0.5967741935483871,0.5441176470588235,0.5692307692307692,62,37,25,1907,31
0.78,0.5789473684210527,0.4852941176470588,0.528,57,33,24,1908,35
0.79,0.5660377358490566,0.4411764705882353,0.4958677685950413,53,30,23,1909,38
0.8,0.6,0.4411764705882353,0.5084745762711865,50,30,20,1912,38
0.81,0.5833333333333334,0.4117647058823529,0.4827586206896552,48,28,20,1912,40
0.8200000000000001,0.6136363636363636,0.39705882352941174,0.48214285714285715,44,27,17,1915,41
0.8300000000000001,0.6097560975609756,0.36764705882352944,0.45871559633027525,41,25,16,1916,43
0.8400000000000001,0.5833333333333334,0.3088235294117647,0.40384615384615385,36,21,15,1917,47
0.85,0.6896551724137931,0.29411764705882354,0.41237113402061853,29,20,9,1923,48
0.86,0.6666666666666666,0.2647058823529412,0.3789473684210526,27,18,9,1923,50
0.87,0.6363636363636364,0.20588235294117646,0.3111111111111111,22,14,8,1924,54
0.88,0.7058823529411765,0.17647058823529413,0.2823529411764706,17,12,5,1927,56
0.89,0.8,0.11764705882352941,0.20512820512820512,10,8,2,1930,60
0.9,0.875,0.10294117647058823,0.1842105263157895,8,7,1,1931,61
0.91,1.0,0.07352941176470588,0.13698630136986303,5,5,0,1932,63
0.92,1.0,0.014705882352941176,0.028985507246376812,1,1,0,1932,67
0.93,1.0,0.014705882352941176,0.028985507246376812,1,1,0,1932,67
0.9400000000000001,0.0,0.0,0.0,0,0,0,1932,68
0.9500000000000001,0.0,0.0,0.0,0,0,0,1932,68
0.9600000000000001,0.0,0.0,0.0,0,0,0,1932,68
0.97,0.0,0.0,0.0,0,0,0,1932,68
0.98,0.0,0.0,0.0,0,0,0,1932,68
0.99,0.0,0.0,0.0,0,0,0,1932,68
